,weekend,weekday
0,0.1773933169953708,0.114682103721338
1,0.11329612872582116,0.07935131057884254
2,0.10331587413819525,0.0694595060203512
3,0.0608841520620383,0.04661115707664095
4,0.053388220344348036,0.0447458587710477
5,0.043077074452140554,0.0653472182119441
6,0.046027961598923695,0.13706519266225278
7,0.05650869870646353,0.44674361044344835
8,0.12722823550005835,0.8295527497418517
9,0.35429888030843487,0.9112623772932553
10,0.625032721689446,0.819094341697126
11,0.6126597705968353,0.7367356829081017
12,0.5693145777423793,0.7326829716293495
13,0.5483724219898037,0.7947391396794489
14,0.5522034701771166,0.8016638139996379
15,0.549427893792536,0.799689089656127
16,0.5566021307516318,0.7962922794460292
17,0.5808469419004231,0.7708045555719719
18,0.5250500322555685,0.6701448282843439
19,0.4085986153053031,0.46839797187693366
20,0.33735175129685435,0.30525712728218257
21,0.33089032599269147,0.3025536670651478
22,0.3451135778128694,0.32126569795166987
23,0.2014203543218872,0.16007634180199076
